GPA,Attendance,Workload,Cluster
3.5333333333333337,100.0,1,0
1.6666666666666667,69.6,1,1
2.6,100.0,2,0
2.1333333333333333,85.6,2,1
1.2,100.0,2,1
2.6,84.0,2,0
2.333333333333333,97.6,2,1
2.2666666666666666,82.4,2,0
2.7333333333333334,88.8,3,0
2.333333333333333,68.0,3,0
1.0666666666666667,100.0,2,0
1.8666666666666667,92.8,3,0
2.1333333333333333,100.0,3,0
2.2,98.4,2,0
2.6,81.6,2,0
1.9333333333333331,90.4,2,0
2.2,97.6,3,0
2.7333333333333334,99.2,3,0
3.066666666666667,100.0,3,0
2.1333333333333333,97.6,3,0
3.0,97.6,1,1
2.066666666666667,93.6,1,1
1.8666666666666667,94.4,3,0
2.8,96.8,3,0
1.6666666666666667,98.4,4,1
2.666666666666667,94.4,3,0
0.4666666666666667,100.0,2,1
1.0666666666666667,100.0,2,0
1.2666666666666666,100.0,4,0
3.066666666666667,87.2,3,0
2.666666666666667,90.4,3,0
1.0,100.0,2,0
3.2,94.4,4,0
1.9333333333333331,96.8,2,0
2.2666666666666666,96.8,3,0
1.3333333333333335,100.0,2,0
3.066666666666667,91.2,2,0
1.1333333333333333,100.0,2,0
2.066666666666667,96.8,3,0
2.666666666666667,94.4,3,0
3.1333333333333333,92.8,3,0
1.9333333333333331,100.0,3,0
2.8666666666666667,100.0,3,0
2.466666666666667,92.0,1,1
1.5333333333333334,93.6,2,1
2.6,98.4,2,0
1.5333333333333334,94.4,1,1
1.6,96.8,1,1
2.333333333333333,96.8,2,0
1.8666666666666667,100.0,2,0
2.533333333333333,96.8,2,0
2.333333333333333,98.4,2,0
2.0,96.8,1,1
3.3333333333333335,100.0,3,0
2.6,100.0,2,1
2.466666666666667,98.4,2,1
2.1333333333333333,100.0,2,0
3.066666666666667,100.0,2,0
2.333333333333333,100.0,2,0
2.0,96.8,2,1
2.6,100.0,3,0
0.8666666666666666,100.0,1,1
2.066666666666667,100.0,1,0
2.466666666666667,92.0,2,0
1.5333333333333334,96.8,2,1
2.533333333333333,97.6,1,1
2.333333333333333,93.6,3,0
1.0666666666666667,88.8,1,1
3.7333333333333334,100.0,3,0
1.7333333333333332,98.4,3,1
2.933333333333333,96.8,3,0
1.8,96.8,2,1
3.0,100.0,2,0
2.0,86.4,2,1
2.8666666666666667,96.8,2,0
1.3333333333333335,96.0,1,1
2.1333333333333333,98.4,2,0
0.7333333333333333,100.0,1,1
1.0666666666666667,88.8,1,1
1.9333333333333331,98.4,3,0
1.1333333333333333,94.4,1,1
0.8,100.0,3,1
1.6,100.0,2,0
0.7333333333333333,100.0,2,1
1.8,91.2,2,1
3.066666666666667,97.6,1,1
1.6666666666666667,97.6,1,1
2.2,100.0,1,1
1.7333333333333332,96.0,1,1
